gene,fake
AP1S1,Gene 803
AP1S2,Gene 804
AP1S3,Gene 805
AP2A1,Gene 806
AP2A2,Gene 807
AP2B1,Gene 808
AP2M1,Gene 809
AP2S1,Gene 810
AP3B1,Gene 811
AP3B2,Gene 812
AP3D1,Gene 813
AP3M1,Gene 814
AP3M2,Gene 815
AP3S1,Gene 816
AP3S2,Gene 817
AP4B1,Gene 818
AP4E1,Gene 819
AP4M1,Gene 820
AP4S1,Gene 821
APAF1,Gene 822
APBA1,Gene 823
APBA2,Gene 824
APBA2BP,Gene 825
APBA3,Gene 826
APBB1,Gene 827
APBB1IP,Gene 828
APBB2,Gene 829
APBB3,Gene 830
APC,Gene 831
APC2,Gene 832
APCDD1,Gene 833
APCDD1L,Gene 834
APCS,Gene 835
APEG1,Gene 836
APEH,Gene 837
APEX1,Gene 838
APEX2,Gene 839
APH1A,Gene 840
APH1B,Gene 841
API5,Gene 842
APIP,Gene 843
APITD1,Gene 844
APLF,Gene 845
APLN,Gene 846
APLNR,Gene 847
APLP1,Gene 848
APLP2,Gene 849
APM-1,Gene 850
APOA1,Gene 851
APOA1BP,Gene 852
APOA2,Gene 853
APOA4,Gene 854
APOA5,Gene 855
APOB,Gene 856
APOB48R,Gene 857
APOBEC1,Gene 858
APOBEC2,Gene 859
APOBEC3A,Gene 860
APOBEC3B,Gene 861
APOBEC3C,Gene 862
APOBEC3D,Gene 863
APOBEC3F,Gene 864
APOBEC3G,Gene 865
APOBEC3H,Gene 866
APOBEC4,Gene 867
APOC1,Gene 868
APOC2,Gene 869
APOC3,Gene 870
APOC4,Gene 871
APOD,Gene 872
APOE,Gene 873
APOF,Gene 874
APOH,Gene 875
APOL1,Gene 876
APOL2,Gene 877
APOL3,Gene 878
APOL4,Gene 879
APOL5,Gene 880
APOL6,Gene 881
APOLD1,Gene 882
APOM,Gene 883
APOO,Gene 884
APOOL,Gene 885
APP,Gene 886
APPBP2,Gene 887
APPL1,Gene 888
APPL2,Gene 889
APRIN,Gene 890
APRT,Gene 891
APTX,Gene 892
AQP1,Gene 893
AQP10,Gene 894
AQP11,Gene 895
AQP12A,Gene 896
AQP12B,Gene 897
AQP2,Gene 898
AQP3,Gene 899
AQP4,Gene 900
AQP5,Gene 901
AQP6,Gene 902
AQP7,Gene 903
AQP7P1,Gene 904
AQP7P2,Gene 905
AQP8,Gene 906
AQP9,Gene 907
AQR,Gene 908
AR,Gene 909
ARAF,Gene 910
ARAP1,Gene 911
ARAP2,Gene 912
ARAP3,Gene 913
ARC,Gene 914
ARCN1,Gene 915
ARD1A,Gene 916
ARD1B,Gene 917
AREG,Gene 918
AREGB,Gene 919
ARF1,Gene 920
ARF3,Gene 921
ARF4,Gene 922
ARF5,Gene 923
ARF6,Gene 924
ARFGAP1,Gene 925
ARFGAP2,Gene 926
ARFGAP3,Gene 927
ARFGEF1,Gene 928
ARFGEF2,Gene 929
ARFIP1,Gene 930
ARFIP2,Gene 931
ARFRP1,Gene 932
ARG1,Gene 933
ARG2,Gene 934
ARG99,Gene 935
ARGFX,Gene 936
ARGFXP2,Gene 937
ARGLU1,Gene 938
ARHGAP1,Gene 939
ARHGAP10,Gene 940
ARHGAP11A,Gene 941
ARHGAP11B,Gene 942
ARHGAP12,Gene 943
ARHGAP15,Gene 944
ARHGAP17,Gene 945
ARHGAP18,Gene 946
ARHGAP19,Gene 947
ARHGAP20,Gene 948
ARHGAP21,Gene 949
ARHGAP22,Gene 950
ARHGAP23,Gene 951
ARHGAP24,Gene 952
ARHGAP25,Gene 953
ARHGAP26,Gene 954
ARHGAP27,Gene 955
ARHGAP28,Gene 956
ARHGAP29,Gene 957
ARHGAP30,Gene 958
ARHGAP4,Gene 959
ARHGAP5,Gene 960
ARHGAP6,Gene 961
ARHGAP8,Gene 962
ARHGAP9,Gene 963
ARHGDIA,Gene 964
ARHGDIB,Gene 965
ARHGDIG,Gene 966
ARHGEF1,Gene 967
ARHGEF10,Gene 968
ARHGEF10L,Gene 969
ARHGEF11,Gene 970
ARHGEF12,Gene 971
ARHGEF15,Gene 972
ARHGEF16,Gene 973
ARHGEF17,Gene 974
ARHGEF18,Gene 975
ARHGEF19,Gene 976
ARHGEF2,Gene 977
ARHGEF3,Gene 978
ARHGEF4,Gene 979
ARHGEF5,Gene 980
ARHGEF5L,Gene 981
ARHGEF6,Gene 982
ARHGEF7,Gene 983
ARHGEF9,Gene 984
ARID1A,Gene 985
ARID1B,Gene 986
ARID2,Gene 987
ARID3A,Gene 988
ARID3B,Gene 989
ARID3C,Gene 990
ARID4A,Gene 991
ARID4B,Gene 992
ARID5A,Gene 993
ARID5B,Gene 994
ARIH1,Gene 995
ARIH2,Gene 996
ARL1,Gene 997
ARL10,Gene 998
ARL11,Gene 999
ARL13A,Gene 1000
ARL13B,Gene 1001
ARL14,Gene 1002
ARL15,Gene 1003
ARL16,Gene 1004
ARL17B,Gene 1005
ARL17P1,Gene 1006
ARL2,Gene 1007
ARL2BP,Gene 1008
ARL3,Gene 1009
ARL4A,Gene 1010
ARL4C,Gene 1011
ARL4D,Gene 1012
ARL5A,Gene 1013
ARL5B,Gene 1014
ARL5C,Gene 1015
ARL6,Gene 1016
ARL6IP1,Gene 1017
ARL6IP4,Gene 1018
ARL6IP5,Gene 1019
ARL6IP6,Gene 1020
ARL8A,Gene 1021
ARL8B,Gene 1022
ARL9,Gene 1023
ARMC1,Gene 1024
ARMC10,Gene 1025
ARMC2,Gene 1026
ARMC3,Gene 1027
ARMC4,Gene 1028
ARMC5,Gene 1029
ARMC6,Gene 1030
ARMC7,Gene 1031
ARMC8,Gene 1032
ARMC9,Gene 1033
ARMCX1,Gene 1034
ARMCX2,Gene 1035
ARMCX3,Gene 1036
ARMCX4,Gene 1037
ARMCX5,Gene 1038
ARMCX6,Gene 1039
ARMET,Gene 1040
ARMS2,Gene 1041
ARNT,Gene 1042
ARNT2,Gene 1043
ARNTL,Gene 1044
ARNTL2,Gene 1045
ARP11,Gene 1046
ARPC1A,Gene 1047
ARPC1B,Gene 1048
ARPC2,Gene 1049
ARPC3,Gene 1050
ARPC4,Gene 1051
ARPC5,Gene 1052
ARPC5L,Gene 1053
ARPM1,Gene 1054
ARPM2,Gene 1055
ARPP19,Gene 1056
ARPP-21,Gene 1057
ARR3,Gene 1058
ARRB1,Gene 1059
ARRB2,Gene 1060
ARRDC1,Gene 1061
ARRDC2,Gene 1062
ARRDC3,Gene 1063
ARRDC4,Gene 1064
ARRDC5,Gene 1065
ARS2,Gene 1066
ARSA,Gene 1067
ARSB,Gene 1068
ARSD,Gene 1069
ARSE,Gene 1070
ARSF,Gene 1071
ARSG,Gene 1072
ARSH,Gene 1073
ARSI,Gene 1074
ARSJ,Gene 1075
ARSK,Gene 1076
ART1,Gene 1077
ART3,Gene 1078
ART4,Gene 1079
ART5,Gene 1080
ARTN,Gene 1081
ARV1,Gene 1082
ARVCF,Gene 1083
ARVP6125,Gene 1084
ARX,Gene 1085
AS3MT,Gene 1086
ASAH1,Gene 1087
ASAH2,Gene 1088
ASAH2B,Gene 1089
ASAH2C,Gene 1090
ASAM,Gene 1091
ASAP1,Gene 1092
ASAP1IT1,Gene 1093
ASAP2,Gene 1094
ASAP3,Gene 1095
ASB1,Gene 1096
ASB10,Gene 1097
ASB11,Gene 1098
ASB12,Gene 1099
ASB13,Gene 1100
ASB14,Gene 1101
ASB15,Gene 1102
ASB16,Gene 1103
ASB17,Gene 1104
ASB18,Gene 1105
ASB2,Gene 1106
ASB3,Gene 1107
ASB4,Gene 1108
ASB5,Gene 1109
ASB6,Gene 1110
ASB7,Gene 1111
ASB8,Gene 1112
ASB9,Gene 1113
ASCC1,Gene 1114
ASCC2,Gene 1115
ASCC3,Gene 1116
ASCL1,Gene 1117
ASCL2,Gene 1118
ASCL3,Gene 1119
