SYMBOL,Norm.y.2,Tumour_24h_2millimol_Metformin_hydrochloride,Norm.y.3,Tumour_24h_4millimol_Metformin_hydrochloride,Norm.x.3,Tumour_48h_2millimol_Metformin_hydrochloride,Norm.x.4,Tumour_48h_4millimol_Metformin_hydrochloride
NSAP11,13.8375795964,12.0080077135,13.8375795964,12.7035110348,12.9333786724,11.207907419,12.9333786724,11.5970223636
NSD1,36.1969205583,32.0260615345,36.1969205583,33.352041689,38.5383769598,31.4031650462,38.5383769598,32.5394623827
NSDHL,298.461843038,277.5599119,298.461843038,275.311562713,257.846962504,168.982514243,257.846962504,166.471133367
NSF,86.118163015,85.6165189967,86.118163015,79.5110266173,94.6248536656,91.3461791982,94.6248536656,94.5037927512
NSFL1C,149.45015333,145.355854897,149.45015333,153.46988233,153.039917551,157.050267477,153.039917551,159.365898176
NSL1,74.3006750936,70.2070964046,74.3006750936,80.0129695594,69.0140424197,54.3754614208,69.0140424197,49.6413789235
NSMAF,51.4742627739,48.0604330077,51.4742627739,54.3612087011,52.8415821658,62.4201700019,52.8415821658,62.0770897933
NSMCE1,847.154179879,855.477474051,847.154179879,767.611549743,787.699520539,795.882210719,787.699520539,730.446083177
NSMCE2,219.289944888,257.987709188,219.289944888,246.94527984,225.795708344,212.816983255,225.795708344,229.468024318
NSMCE4A,79.3147639562,84.2808794955,79.3147639562,81.0476582497,81.0069148946,91.0011296122,81.0069148946,90.6090868087
NSUN2,435.195083989,396.881528617,435.195083989,408.777202144,368.041924233,318.544222087,368.041924233,276.363717624
NSUN3,39.3523190458,37.0810966089,39.3523190458,35.7880840241,39.7374428445,35.3488565227,39.7374428445,35.3617533553
NSUN4,52.448720833,51.9753989616,52.448720833,45.7574075169,50.1216584068,50.150249896,50.1216584068,52.234052891
NSUN5,228.899999717,210.875142027,228.899999717,213.975800627,191.427915085,264.481174926,191.427915085,264.687630733
NSUN5P1,125.48550099,112.950918164,125.48550099,131.249866265,109.239298942,136.292353794,109.239298942,126.256468547
NSUN5P2,236.627515422,227.171742122,236.627515422,212.670448977,246.04434414,274.189935588,246.04434414,262.698108471
NSUN6,31.8015002711,36.1030526847,31.8015002711,30.9371624117,33.1927466284,42.2838573392,33.1927466284,46.6651468345
NSUN7,13.4239487738,14.4278601464,13.4239487738,14.2432248358,13.4908134095,13.0059720047,13.4908134095,13.7433292073
NT5C,90.7148166944,77.6243256626,90.7148166944,72.0943719307,63.0337832257,60.6118568211,63.0337832257,67.5657123034
NT5C1A,21.2356540588,19.7864051957,21.2356540588,19.6437484466,21.4154759461,20.284828781,21.4154759461,20.362892268
NT5C1B,14.1234276582,15.5155014078,14.1234276582,15.9347856471,13.6188644273,14.9741746965,13.6188644273,14.6505079507
NT5C2,127.380972218,129.874627624,127.380972218,141.450957316,112.032504814,129.813559856,112.032504814,150.407114132
NT5C3,295.083079722,298.606163812,295.083079722,276.713176928,348.853941562,565.458061846,348.853941562,652.844915436
NT5C3L,451.267268025,432.64657996,451.267268025,462.221883909,377.372182361,347.195302507,377.372182361,421.09273651
NT5DC1,239.844289323,235.547055848,239.844289323,235.286773547,200.170060312,175.360481195,200.170060312,169.638495457
NT5DC2,29.5763730499,28.7603594619,29.5763730499,29.8344995165,27.3842585112,21.9477214068,27.3842585112,19.8737061054
NT5DC3,52.1350395101,44.2803018102,52.1350395101,43.7476101839,43.2498243081,46.7737811885,43.2498243081,46.9094606554
NT5DC4,15.0162906255,15.6512699837,15.0162906255,14.7196711269,16.2962745671,17.2638759787,16.2962745671,16.2972907181
NT5E,601.511097685,559.408735167,601.511097685,546.535275332,306.442526166,310.583788344,306.442526166,333.078003114
NT5M,20.7485023098,17.8539881624,20.7485023098,25.4537976665,19.8249206701,22.7978820698,19.8249206701,21.8543049712
