SYMBOL,Norm.y.6,Tumour_24h_01micromol_Retinoic.acid,Norm.y.7,Tumour_24h_1micromol_Retinoic.acid,Norm.x.7,Tumour_48h_01micromol_Retinoic.acid,Norm,Tumour_48h_1micromol_Retinoic.acid
INTS10,50.7497873249,53.3105560286,50.7497873249,51.8297567753,54.5251548568,51.568151494,54.5251548568,55.4122537802
INTS12,239.63953607,220.00053733,239.63953607,238.768893489,254.670493871,227.505488169,254.670493871,213.228815327
INTS2,170.354276454,146.064165694,170.354276454,117.127119166,157.947291832,120.803437445,157.947291832,118.043503881
INTS3,59.8156593554,58.5565322071,59.8156593554,58.6579848677,63.0240190223,61.5779660717,63.0240190223,57.8145621767
INTS4,27.5007828491,27.4063567206,27.5007828491,28.1649055405,24.9215070264,27.0507103495,24.9215070264,26.9062699221
INTS4L1,22.9459429788,26.8286820865,22.9459429788,19.3097514285,22.3526932926,21.0972977313,22.3526932926,21.2862870748
INTS5,134.794417462,136.458468708,134.794417462,147.543073512,147.150208773,129.172176244,147.150208773,130.721563092
INTS6,127.341686127,114.274205786,127.341686127,120.238889635,157.253569568,130.126471457,157.253569568,123.735763029
INTS7,46.4933743279,44.8751308816,46.4933743279,39.5304003278,44.5099332412,38.8426170552,44.5099332412,40.2438426036
INTS8,603.148905703,595.872052195,603.148905703,559.827074563,531.07623053,559.827074563,531.07623053,556.529795405
INTS9,66.2113072329,74.8777618324,66.2113072329,63.4874451838,66.1867488382,52.2515438396,66.1867488382,69.2092902296
INTU,21.7002718423,23.3420237749,21.7002718423,24.2638414595,24.8058841922,30.9779969185,24.8058841922,33.6104585101
INVS,36.0406775489,33.6779191802,36.0406775489,28.4724050197,33.5755719142,32.0780129863,33.5755719142,32.3642987837
IP6K1,113.192009903,119.59018779,113.192009903,112.324798877,150.770203549,99.4155681074,150.770203549,109.428520484
IP6K2,329.577541088,355.00427218,329.577541088,329.422024706,477.702451781,437.691428322,477.702451781,370.866344739
IP6K3,14.7354388267,11.9847142781,14.7354388267,13.0379302466,13.6221491936,13.2415265377,13.6221491936,13.5078738776
