SYMBOL,Norm.y.1,Tumour_24h_5micromol_Capryloylsalicylic_acid,Norm.y,Tumour_24h_10micromol_Capryloylsalicylic_acid.y,Norm.x.2,Tumour_48h_5micromol_Capryloylsalicylic_acid,Norm.x.1,Tumour_48h_10micromol_Capryloylsalicylic_acid
CORT,13.6375675212,16.3129938025,13.6375675212,14.4389542459,14.2735266175,14.4874833693,14.2735266175,14.9088671605
COTL1,1247.99558959,1160.1344567,1247.99558959,1046.83920825,851.369089337,751.319171233,851.369089337,677.121057543
COX10,45.1328450101,48.7690472373,45.1328450101,62.7149400461,44.7887450624,52.4016143949,44.7887450624,57.6122036002
COX11,115.539451907,117.508327133,115.539451907,100.033484766,106.342205874,105.955825106,106.342205874,83.9928603844
COX15,113.156399484,109.801792919,113.156399484,102.431724449,110.670284724,88.4986471673,110.670284724,84.0474731832
COX16,388.383033843,309.339550458,388.383033843,296.397454842,360.363200408,268.162148105,360.363200408,223.41532107
COX17,121.317809415,117.372545372,121.317809415,135.137490545,118.084338303,128.582463563,118.084338303,141.71380666
COX18,59.7786738882,60.4395030103,59.7786738882,61.9329786783,57.8762853303,60.9262090043,57.8762853303,62.3762435192
COX19,29.099254062,32.0098923589,29.099254062,28.5372221462,31.1113698444,31.7907220037,31.1113698444,37.8866744081
COX4I1,519.643900372,484.837849687,519.643900372,504.948182644,518.767711412,506.01634049,518.767711412,533.536498102
COX4I2,17.4802812039,18.9407570505,17.4802812039,16.1087854595,16.2380468311,15.4583230611,16.2380468311,18.0309997482
COX4NB,348.286538956,327.930539035,348.286538956,316.335969803,301.850717495,305.35622322,301.850717495,271.69660453
COX5A,348.4938834,321.785595466,348.4938834,312.306910329,315.393658988,341.761731712,315.393658988,318.751898578
COX5B,710.313565486,766.31463427,710.313565486,790.20920511,788.487314723,881.614219033,788.487314723,791.640097527
COX6A1,99.7933391404,106.059478729,99.7933391404,108.543432575,96.9260168735,93.3172461758,96.9260168735,94.9552759293
COX6A2,11.3529421825,10.9260273798,11.3529421825,12.1514437835,10.9608681189,10.2993037127,10.9608681189,11.304616568
COX6B1,1338.7526911,1409.25303416,1338.7526911,1427.45146653,1501.21339973,1523.71319697,1501.21339973,1360.78652457
COX6B2,23.2052208807,21.9986992795,23.2052208807,27.1511303958,28.4395083442,34.4344546222,28.4395083442,23.7388141096
COX6C,3208.28113398,3272.21900147,3208.28113398,3283.64456684,3491.85974871,3375.08643604,3491.85974871,3125.55931673
COX7A1,17.4902478468,16.1603547188,17.4902478468,14.3624085912,14.1860685588,15.6436867599,14.1860685588,15.3452552685
COX7A2,2723.55071181,2717.34439253,2723.55071181,2562.10164798,2460.65883792,2454.8845375,2460.65883792,2416.80390827
COX7A2L,1714.62125199,2036.17004955,1714.62125199,2245.70338288,2138.28168509,2228.11584483,2138.28168509,2575.30002139
COX7B,250.664801318,304.592392432,250.664801318,242.157838302,334.103353905,239.080498199,334.103353905,209.94397362
COX7B2,15.1706269643,17.1112146965,15.1706269643,20.0550461179,20.0251293749,14.745247336,20.0251293749,17.2991585925
COX7C,1789.97131011,1885.99378157,1789.97131011,1878.42129898,1917.69349665,1868.04290282,1917.69349665,1801.53559375
COX8A,2368.04933768,2555.63956424,2368.04933768,2430.73455513,2507.26089995,2395.09393161,2507.26089995,2305.58586599
COX8C,10.269100959,11.0665080997,10.269100959,11.6887167086,11.9009249386,11.7055966955,11.9009249386,13.0291945104
CP,14.2732481146,14.4418970547,14.2732481146,12.8501931798,13.6816477643,13.9493461558,13.6816477643,13.8350539078
CP110,46.1681597224,46.8916188869,46.1681597224,42.3553232323,50.9072755909,46.9094606554,50.9072755909,34.8206491758
CPA1,10.1166528454,11.4194972728,10.1166528454,10.4018705168,10.8487350113,10.847909159,10.8487350113,10.5426898368
CPA2,24.7681498265,25.6399533255,24.7681498265,29.7582184946,23.3567479745,30.1458247892,23.3567479745,26.3014239713
CPA3,20.6388412169,19.8567206893,20.6388412169,21.1289203484,21.1378702045,19.1703930733,21.1378702045,19.0759249239
CPA4,934.765669042,799.17043486,934.765669042,703.44625291,1426.30780853,1032.06368885,1426.30780853,252.563836222
CPA5,20.8094907032,19.9915574998,20.8094907032,20.4497376673,20.3912244523,20.5208619318,20.3912244523,21.517245268
CPA6,12.0969669085,11.3752575797,12.0969669085,11.8501314084,11.5687223014,12.349113832,11.5687223014,12.4462990455
CPAMD8,20.4831323426,17.9631642705,20.4831323426,21.7443138618,20.5318410361,22.5250643089,20.5318410361,21.8517385088
CPB1,16.9845934735,13.5389687986,16.9845934735,15.4133934786,15.4270526181,13.692554647,15.4270526181,16.5793510435
CPB2,11.8250143554,12.3054979839,11.8250143554,14.6624126603,16.8909595673,11.823665515,16.8909595673,12.3708112972
