SYMBOL	SPT1657_SPT1663	SPT1658_SPT1664	SPT1659_SPT1665	SPT1660_SPT1666	SPT1661_SPT1667	SPT1662_SPT1668
ERBB2	5110.20155305506	4810.1041233855	4811.8649670686	4707.96829762284	5621.47138372087	4643.04223893074
ERBB2IP	10431.0920849603	9319.57673905941	9427.43178897477	8420.2992318424	10864.9508294012	8951.46253299181
ERBB3	2036.32885690584	1877.6127597017	1711.20774369857	1567.81147661593	2084.62038853995	1945.23418535124
ERBB4	3242.82140560456	3219.78123643778	2838.641873088	3240.80868561326	3286.57295446195	2908.73706162963
ERCC1	7390.01531476419	7016.81054537504	6578.54827353046	6062.68798881093	7603.09669377565	7180.7004901018
ERCC2	2663.42671376654	2634.52818296373	4511.44345795044	4428.68204267912	1511.96775216237	1134.06892599794
ERCC3	2249.00546763197	2164.01319012517	2230.11762308447	2068.35047898261	1978.53545770022	1440.04619076203
ERCC4	1890.23791402387	1858.04502843053	1779.48535940724	1589.57404193622	2026.94314458825	2028.56416384018
ERCC5	2052.2299119134	2107.97832330319	1898.97118689742	1714.70879252789	2168.04640211294	2118.40429689857
ERCC6	2555.10077652753	2284.97734707422	2098.68321284528	2067.4437054276	2763.35795575726	2318.91705763759
ERCC6L	4590.4358174954	4404.518420674	4455.11442499079	4162.09061750556	4107.44372998879	3894.37446344415
ERCC6L2	5645.86834362229	5513.65300681707	4822.1066094249	4594.62160324633	6303.29880329273	5227.65411926722
ERCC8	6964.66209331192	6773.99278914645	6134.7437714241	6025.51027305543	7213.77529710168	6519.26878584582
EREG	5842.64389934086	5434.49263940189	5618.39430262727	5510.46289380856	5472.12851991737	4717.25800102245
ERF	6890.12589796398	6986.56950613778	6470.15755859295	6574.10827383775	6525.76817282071	5985.43611115104
ERG	6772.85561728321	6444.89912685861	5676.43027597964	5133.24509492352	7081.94159664066	6452.86520923745
ERI1	9992.8192563144	9653.11761299979	8486.05416239146	8141.01297689867	10836.1122074253	9494.40942408383
ERI2	6111.96801853144	5905.00763224045	5335.04219743629	4881.16204663016	6544.30728694804	5383.89782893399
ERI3	4789.19900508992	4945.29935762267	4337.33553789333	4373.36885582338	5013.80042065834	4210.76797551935
ERMAP	7432.74940009701	7250.73387829856	7346.67145025301	7559.77112813591	7733.90044345182	6658.58609363202
ERN1	5668.72611019566	5176.55436355467	6162.05481770757	6255.8307560285	5239.35964254087	4141.76033708319
ERN2	2652.49473844885	2356.13273351483	2158.42612659037	2421.99216543733	2428.62395068044	2154.86116248748
ERP27	4954.17245079337	4692.69773575849	4333.9216571079	4277.25085899209	5622.50133450572	4943.81138003926
ERP29	5768.10770399292	5582.14006626617	5039.74150949629	4738.79859849325	6743.08778842443	5471.1339001646
ERP44	5992.71010597472	5802.72176423207	4739.32000037813	4727.0105422781	6277.55003367144	5661.2304135925
ESAM	8014.13172381098	7657.20902334057	6646.82588923913	6470.73608856637	8847.27724187657	7819.99766882165
ESPN	5239.3976249915	4841.23460495327	4652.26604034958	4602.78256524144	5810.98232813359	5014.12104938931
ESPNL	3183.19244932621	2995.64176914985	2721.7164561869	2631.45685664513	2972.43796508216	2757.70147561842
ESR1	3925.57295499174	3705.41674889497	3468.50287800049	3078.49621926609	4117.74323783731	3369.65600514659
ESR2	5358.65553754821	5252.15696164782	5198.48696601895	5218.48180909466	5443.28989794152	4594.86709511682
ESRP1	7815.36853621646	7695.4550435524	7362.88738398382	7139.93497216531	8413.66796145398	7454.12698201864
ESRP2	6675.4616553619	6684.15911376517	5562.91873986398	5468.751310278	7358.99835776578	6601.29673342087
ESRRA	1344.63296407692	1428.44438279533	1257.16159923591	1526.09989308537	1423.39198466512	1488.22133457595
ESRRB	2047.26083222354	1792.22629597296	1933.96346494811	1703.82750986774	2110.36915816124	1550.71881844265
ESRRG	1407.24336816919	1376.85672762588	1182.05622195637	1351.09259696803	1493.42863803504	1235.62733728134
ESX1	4690.81122723063	4414.30228630959	4243.45381629391	4087.73518599456	4706.87508677251	3896.97852527193
ESYT1	2014.46490627044	1960.33089643891	1848.61644531227	1890.62286220024	2046.51220950043	1955.65043266236
ESYT2	2401.05930614178	2392.59986906564	1977.49044496239	1906.03801263544	2265.89172667386	1887.94482514009
ESYT3	5563.38162077057	5380.23665724092	5264.20417113854	4912.89912105558	5882.04893228837	4666.47879538075
ETHE1	5385.48856787347	5012.00753241075	4590.81618621177	4542.02873705563	5431.96043930815	4665.17676446686
ETNK1	5683.63334926525	5522.54743012215	4766.6310466616	4647.21446943703	6428.95279904465	5426.86484909235
ETNK2	1271.09058466694	1543.18244343082	1303.24898983926	1201.47496039104	1435.75139408334	1289.01060475082
ETS1	11347.390379771	10634.1725035498	9424.87137838569	9084.05747411126	13468.6664135064	10637.592566479
ETS2	4588.44818561945	4585.07521376706	3995.09398915362	3814.79634593592	5378.40299849586	4743.29861930024
ETV1	6817.57733449198	7071.06652753601	6194.48668516919	6461.66835301625	7046.9232699557	5998.45642028993
ETV2	6331.60134082338	5856.97774639304	5446.84679315924	5359.93848367655	6384.66491529602	5511.49685849518
ETV3	2783.67844226123	2612.29212470104	2711.4748138306	2629.6433095351	3218.59620266173	2291.5744084459
ETV3L	9980.89346505873	9528.59568672872	8835.12347270204	9087.68456833131	9928.72556597091	8688.45228838609
ETV4	10348.6053621086	9480.5658008813	10050.4650323164	9500.26653586181	10153.2548370686	8303.05113787474
ETV5	5218.52749029408	5375.78944558839	5100.33789343773	5053.44902208245	5395.91216183834	4524.55742576677
ETV6	5358.65553754821	5161.43384393604	5024.37904596184	4626.35867767175	5798.62291871537	5070.10837868656
ETV7	7432.74940009701	7196.47789613759	6340.43008874647	6375.5248652901	7859.55443920373	7124.71316080454
EVI5	2207.26519823712	1802.89960393906	1678.77587623695	1701.10718920271	2504.84030875947	2002.52354556239
EVI5L	4023.96073285102	3618.25140050522	2901.79866761852	3136.52972678687	3905.57337615785	3544.12814760781
EVL	2602.80394155022	2450.41362054864	2567.23835064603	2516.29661515859	2614.01509195375	2022.05400927073
EVX1	7983.32342973382	8351.86348346706	7195.60722549758	7293.17970296235	8417.78776459338	7425.48230191307
EVX2	3393.8814281764	3266.03223762418	3200.51323634396	3064.89461594091	3483.29355436863	2964.72439092689
EWSR1	1986.63806000721	1880.28108669322	1614.76561151007	1599.54855104135	2259.71202196475	1812.42703213449
EXOC2	2877.09714043065	2592.72439342987	3137.35644181344	3063.08106883089	2655.21312334782	2397.03891247097
EXOC8	2335.46745423559	2123.09884292182	1976.63697476603	2094.64691207796	2217.48403978583	1781.17829020114
EXOSC1	1602.03129201182	1641.91054211717	1157.30558626198	1041.88281470891	1944.54708180011	1523.37616925097
EXOSC10	1078.29029270026	1084.23020088886	1084.76061957151	1026.4676642737	1086.5980780186	1085.89378218403
EXOSC2	1709.36341331286	2129.32493923537	1537.09982364146	1510.68474265017	2296.79025021941	1816.33312487616
